name,team,school,address,latitude,longitude
"Bryant, Thomas",Washington Wizards,Indiana University-Bloomington,107 South Indiana Ave. Bloomington IN 47405,39.166111,-39.166111
"Vonleh, Noah (FA)",Denver Nuggets,Indiana University-Bloomington,107 South Indiana Ave. Bloomington IN 47405,39.166111,-39.166111
"Morgan, Juwan (FA)",Utah Jazz,Indiana University-Bloomington,107 South Indiana Ave. Bloomington IN 47405,39.166111,-39.166111
"Ferrell, Yogi",Sacramento Kings,Indiana University-Bloomington,107 South Indiana Ave. Bloomington IN 47405,39.166111,-39.166111
"Gordon, Eric ",Houston Rockets,Indiana University-Bloomington,107 South Indiana Ave. Bloomington IN 47405,39.166111,-39.166111
"Uthoff, Jarrod (FA)",Washington Wizards,University of Iowa,101 Jessup Hall Iowa City IA 52242,41.661897,-41.661897
"Cook, Tyler (TW)",Denver Nuggets,University of Iowa,101 Jessup Hall Iowa City IA 52242,41.661897,-41.661897
"Shayok, Marial (TW)",Philadelphia 76ers,Iowa State University,1750 Beardshear Hall Ames IA 50011,42.0266573,-42.0266573
"Thomas, Matt",Toronto Raptors,Iowa State University,1750 Beardshear Hall Ames IA 50011,42.0266573,-42.0266573
"Mitrou-Long, Naz (TW)",Indiana Pacers,Iowa State University,1750 Beardshear Hall Ames IA 50011,42.0266573,-42.0266573
"Morris, Monté",Denver Nuggets,Iowa State University,1750 Beardshear Hall Ames IA 50011,42.0266573,-42.0266573
"Burton, Deonte",Oklahoma City Thunder,Iowa State University,1750 Beardshear Hall Ames IA 50011,42.0266573,-42.0266573
"Nader, Abdel",Oklahoma City Thunder,Iowa State University,1750 Beardshear Hall Ames IA 50011,42.0266573,-42.0266573
"Niang, Georges",Utah Jazz,Iowa State University,1750 Beardshear Hall Ames IA 50011,42.0266573,-42.0266573
"Horton-Tucker, Talen",Los Angeles Lakers,Iowa State University,1750 Beardshear Hall Ames IA 50011,42.0266573,-42.0266573
"Hill, George",Milwaukee Bucks,Indiana University-Purdue University-Indianapolis,425 University Blvd Indianapolis IN 46202,39.7737388,-39.7737388
"Embiid, Joel",Philadelphia 76ers,University of Kansas,Strong Hall  1450 Jayhawk Blvd  Room 230 Lawrence KS 66045,38.958542,-38.958542
"Mykhailiuk, Sviatoslav",Detroit Pistons,University of Kansas,Strong Hall  1450 Jayhawk Blvd  Room 230 Lawrence KS 66045,38.958542,-38.958542
"Mason, Frank (TW)",Milwaukee Bucks,University of Kansas,Strong Hall  1450 Jayhawk Blvd  Room 230 Lawrence KS 66045,38.958542,-38.958542
"Graham, Devonte",Charlotte Hornets,University of Kansas,Strong Hall  1450 Jayhawk Blvd  Room 230 Lawrence KS 66045,38.958542,-38.958542
"Wiggins, Andrew",Golden State Warriors,University of Kansas,Strong Hall  1450 Jayhawk Blvd  Room 230 Lawrence KS 66045,38.958542,-38.958542
"Morris, Marcus (FA)",Los Angeles Clippers,University of Kansas,Strong Hall  1450 Jayhawk Blvd  Room 230 Lawrence KS 66045,38.958542,-38.958542
"Morris, Markieff",Los Angeles Lakers,University of Kansas,Strong Hall  1450 Jayhawk Blvd  Room 230 Lawrence KS 66045,38.958542,-38.958542
