Name,Address,Latitude,Longitude
Vaughn College of Aeronautics and Technology,86-01 23rd Avenue Flushing NY 11369,40.7679103,-73.8824069
Fordham University,441 E Fordham Rd Bronx NY 10458,40.8620281,-73.8854257
CUNY Lehman College,250 Bedford Park Blvd West Bronx NY 10468,40.8708651,-73.8867486
Vassar College,124 Raymond Ave Poughkeepsie NY 12604,41.6867948,-73.8952889
Monroe College,2501 Jerome Avenue Bronx NY 10468,40.8644448,-73.9002497
Manhattan College,4513 Manhattan College Parkway Riverdale NY 10471,40.8897823,-73.9027188
College of Mount Saint Vincent,6301 Riverdale Ave Bronx NY 10471,40.9124186,-73.9030114
Dutchess Community College,53 Pendell Rd Poughkeepsie NY 12601,41.7262267,-73.90485
Bard College,30 Campus Rd Annandale NY 12504,42.0193866,-73.9076429
CUNY Bronx Community College,2155 University Avenue Bronx NY 10453,40.8567706,-73.9105102
CUNY Hostos Community College,500 Grand Concourse Bronx NY 10451,40.8181423,-73.9269056
Union College,807 Union St Schenectady NY 12308,42.8155649,-73.9306221
Nyack College,1 South Blvd Nyack NY 10960,41.0863519,-73.9309763
Yeshiva University,500 W 185th St New York NY 10033,40.8516512,-73.9312468
Marist College,3399 North Rd Poughkeepsie NY 12601,41.7216281,-73.9345125
CUNY Kingsborough Community College,2001 Oriental Blvd Brooklyn NY 11235,40.5778144,-73.9355607
St. Thomas Aquinas College,125 Rte 340 Sparkill NY 10976,41.042084,-73.936432
CUNY City College,160 Convent Ave New York NY 10031,40.8216144,-73.9479427
Schenectady County Community College,78 Washington Avenue Schenectady NY 12305,42.8145482,-73.9511974
CUNY Brooklyn College,2900 Bedford Ave Brooklyn NY 11210,40.6308935,-73.951458
Dominican College of Blauvelt,470 Western Highway Orangeburg NY 10962,41.0513059,-73.952747
CUNY Medgar Evers College,1650 Bedford Ave Brooklyn NY 11225,40.6664923,-73.9579327
Pratt Institute-Main,200 Willoughby Ave Brooklyn NY 11205,40.6914694,-73.9628951
Columbia University in the City of New York,West 116 St and Broadway New York NY 10027,40.8079878,-73.9638163
CUNY Hunter College,695 Park Ave New York NY 10065,40.7685437,-73.9651879
St. Joseph's College-New York,245 Clinton Ave Brooklyn NY 11205,40.690509,-73.9677729
Berkeley College-New York,3 East 43 Street New York NY 10017,40.7539196,-73.9795019
CUNY Bernard M Baruch College,One Bernard Baruch Way New York NY 10010,40.7401991,-73.9833745
ASA College,81 Willoughby Street Brooklyn NY 11201,40.6924059,-73.9860842
Touro College,500 7th Avenue New York NY 10018,40.7532218,-73.9892771
CUNY John Jay College of Criminal Justice,524 W 59th St New York NY 10019,40.7711041,-73.9897134
St Francis College,180 Remsen Street Brooklyn Heights NY 11201,40.6932296,-73.9921647
Fashion Institute of Technology,227 W 27th St New York NY 10001,40.7472258,-73.9948612
New York University,70 Washington Sq South New York NY 10012,40.7294556,-73.9971753
Pace University-New York,1 Pace Plaza New York NY 10038,40.710974,-74.0047486
Monmouth University,400 Cedar Ave West Long Branch NJ 7764,40.2800543,-74.0054216
CUNY Borough of Manhattan Community College,199 Chambers St New York NY 10007,40.7174546,-74.0122469
The King's College,56 Broadway New York NY 10004,40.7066799,-74.01234
Mount Saint Mary College,330 Powell Avenue Newburgh NY 12550,41.5108609,-74.0131196
Stevens Institute of Technology,Castle Point On Hudson Hoboken NJ 7030,40.7469277,-74.0258209
Fairleigh Dickinson University-Metropolitan Campus,1000 River Rd Teaneck NJ 7666,40.8980254,-74.030675
Saint Peter's University,2641 J. F. Kennedy Blvd Jersey City NJ 7306,40.7270586,-74.0707688
Rockland Community College,145 College Rd Suffern NY 10901,41.1341622,-74.0848112
State University of New York at New Paltz,1 Hawk Drive New Paltz NY 12561,41.7390054,-74.0851655
New Jersey City University,2039 Kennedy Blvd Jersey City NJ 7305,40.709662,-74.0876563
Bergen Community College,400 Paramus Rd Paramus NJ 7652,40.9516735,-74.0939011
Wagner College,One Campus Rd Staten Island NY 10301,40.6149557,-74.0943823
Felician University,262 S Main St Lodi NJ 7644,40.8668874,-74.0949982
North Country Community College,23 Santanoni Avenue Saranac Lake NY 12983,44.3186802,-74.1204599
Ulster County Community College,491 Cottekill Rd Stone Ridge NY 12484,41.8508952,-74.1312548
Brookdale Community College,765 Newman Springs Rd Lincroft NJ 7738,40.3270495,-74.1339973
College of Staten Island CUNY,2800 Victory Blvd Staten Island NY 10314,40.6080147,-74.1533194
Ocean County College,College Drive Toms River NJ 8754,40.0070826,-74.1640752
Passaic County Community College,One College Blvd Paterson NJ 75051179,40.9184697,-74.1688204
New Jersey Institute of Technology,University Heights Newark NJ 7102,40.7350747,-74.1739057
Ramapo College of New Jersey,505 Ramapo Valley Rd Mahwah NJ 7430,41.081602,-74.1753734
Rutgers University-Newark,249 University Avenue  Blumenthal Hall Newark NJ 7102,40.7390392,-74.1753804
Essex County College,303 University Ave Newark NJ 7102,40.7383477,-74.1783959
Berkeley College-Woodland Park,44 Rifle Camp Rd Woodland Park NJ 7424,40.8986902,-74.1896832
Bloomfield College,467 Franklin St Bloomfield NJ 7003,40.7947084,-74.1964937
William Paterson University of New Jersey,300 Pompton Rd Wayne NJ 7470,40.9426676,-74.1973551
Montclair State University,1 Normal Avenue Montclair NJ 7043,40.8647437,-74.1985735
Georgian Court University,900 Lakewood Ave Lakewood NJ 8701,40.0997898,-74.2274498
Kean University,1000 Morris Avenue Union NJ 7083,40.6764579,-74.2284791
Seton Hall University,400 S Orange Ave South Orange NJ 7079,40.7421078,-74.2502202
Paul Smiths College of Arts and Science,7777 State Route 30 Paul Smiths NY 12970,44.4393179,-74.2563022
Caldwell University,120 Bloomfield Avenue Caldwell NJ 7006,40.8356398,-74.2697785
Fulton-Montgomery Community College,2805 State Hwy 67 Johnstown NY 12095,42.9830843,-74.2933756
Union County College,1033 Springfield Ave. Cranford NJ 7016,40.6677,-74.3202
Middlesex County College,2600 Woodbridge Avenue Edison NJ 8818,40.5082704,-74.371293
Drew University,36 Madison Ave Madison NJ 7940,40.7612505,-74.4252577
Orange County Community College,115 South St Middletown NY 10940,41.4386164,-74.4261043
Fairleigh Dickinson University-Florham Campus,285 Madison Ave Madison NJ 7940,40.7741362,-74.4382335
College of Saint Elizabeth,2 Convent Rd Morristown NJ 7960,40.7806132,-74.4393729
Rutgers University-New Brunswick,7 College Avenue  2nd Floor New Brunswick NJ 8901,40.4982079,-74.4467932
SUNY College of Agriculture and Technology at Cobleskill,State Route 7 Cobleskill NY 12043,42.6778477,-74.4854177
Stockton University,101 Vera King Farris Drive Galloway NJ 8205,39.4914249,-74.5309483
County College of Morris,214 Center Grove Rd Randolph NJ 7869,40.8600762,-74.5779078
Mercer County Community College,1200 Old Trenton Rd West Windsor NJ 8550,40.2546343,-74.6517922
Princeton University,1 Nassau Hall Princeton NJ 8544,40.3486278,-74.6593444
Sullivan County Community College,112 College Road Loch Sheldrake NY 12759,41.7727955,-74.6669741
Atlantic Cape Community College,5100 Black Horse Pike Mays Landing NJ 8330,39.4606358,-74.6796745
Raritan Valley Community College,118 Lamington Road Branchburg NJ 8876,40.61085,-74.6933756
Rider University,2083 Lawrence Road Lawrenceville NJ 8648,40.2660866,-74.7418715
Sussex County Community College,One College Hill Road Newton NJ 7860,41.0682488,-74.7579259
The College of New Jersey,2000 Pennington Road Ewing NJ 8628,40.2686403,-74.777411
Centenary University,400 Jefferson St Hackettstown NJ 7840,40.8474559,-74.8343839
Rowan College at Burlington County,900 College Circle Mount Laurel NJ 8054,39.972204,-74.894486
Cairn University-Langhorne,200 Manor Ave Langhorne PA 19047,40.1650923,-74.9087964
SUNY College of Technology at Delhi,2 Main Street Delhi NY 13753,42.272466,-74.9217814
Bucks County Community College,275 Swamp Rd Newtown PA 18940,40.2402579,-74.9661755
SUNY College at Potsdam,44 Pierrepont Ave Potsdam NY 13676,44.6617901,-74.9723275
Holy Family University,9801 Frankford Avenue Philadelphia PA 19114,40.0592303,-74.9886069
Clarkson University,8 Clarkson Ave Potsdam NY 13699,44.6650767,-74.9943713
Herkimer County Community College,100 Reservoir Rd Herkimer NY 13350,43.0322822,-75.006246
Camden County College,200 College Drive Blackwood NJ 8012,39.7855923,-75.0378157
Cumberland County College,3322 College Drive Vineland NJ 8362,39.4410843,-75.0561718
Bryn Athyn College of the New Church,801 Tomlinson Rd Bryn Athyn PA 19009,40.1320822,-75.0597001
SUNY Oneonta,108 Ravine Parkway Oneonta NY 13820,42.4716666,-75.061936
Hartwick College,One Hartwick Drive Oneonta NY 13820,42.4586674,-75.0718461
Manor College,700 Fox Chase Rd Jenkintown PA 19046,40.0871795,-75.1047498
Pennsylvania State University-Penn State Abington,1600 Woodland Road Abington PA 19001,40.1152666,-75.1106301
Rowan University,201 Mullica Hill Road Glassboro NJ 8028,39.7086852,-75.1177774
Rutgers University-Camden,406 Penn Camden NJ 8102,39.9478964,-75.1213581
Rowan College at Gloucester County,1400 Tanyard Road Sewell NJ 8080,39.7810635,-75.1230686
La Salle University,1900 W Olney Ave Philadelphia PA 19141,40.0377071,-75.1533282
Delaware Valley University,700 E Butler Ave Doylestown PA 18901,40.2991045,-75.1564069
Temple University,1801 North Broad Street Philadelphia PA 19122,39.9803512,-75.1570681
Thomas Jefferson University,1020 Walnut Street Philadelphia PA 19107,39.9482624,-75.1582775
St Lawrence University,23 Romoda Drive Canton NY 13617,44.5918928,-75.1613747
Arcadia University,450 S Easton Rd Glenside PA 19038,40.092564,-75.1638865
Community College of Philadelphia,1700 Spring Garden St Philadelphia PA 19130,39.9621811,-75.1656649
East Stroudsburg University of Pennsylvania,200 Prospect Street East Stroudsburg PA 18301,40.9974053,-75.1774259
SUNY College of Technology at Canton,34 Cornell Drive Canton NY 13617,44.6013495,-75.1831272
Drexel University,3141 Chestnut St Philadelphia PA 19104,39.9540928,-75.1868606
University of Pennsylvania,34th & Spruce Street Philadelphia PA 19104,39.9504425,-75.1925902
University of the Sciences,600 South 43rd Street Philadelphia PA 19104,39.9468299,-75.2070979
Lafayette College,730 High St Easton PA 18042,40.7002085,-75.2079306
Mohawk Valley Community College,1101 Sherman Dr Utica NY 13501,43.077007,-75.218217
Chestnut Hill College,9601 Germantown Ave Philadelphia PA 19118,40.0874677,-75.2281838
SUNY Polytechnic Institute,100 Seymour Rd Utica NY 13502,43.1352919,-75.2292116
Saint Joseph's University,5600 City Avenue Philadelphia PA 19131,39.995634,-75.2406137
Gwynedd Mercy University,1325 Sumneytown Pike Gwynedd Valley PA 19437,40.1937701,-75.2420808
Utica College,1600 Burrstone Rd Utica NY 13502,43.0967844,-75.2719684
Montgomery County Community College,340 Dekalb Pike Blue Bell PA 19422,40.1767143,-75.2772543
Haverford College,370  Lancaster Ave Haverford PA 19041,40.0119253,-75.2996179
Harcum College,750 Montgomery Ave Bryn Mawr PA 19010,40.0225303,-75.3147519
Northampton County Area Community College,3835 Green Pond Rd Bethlehem PA 18020,40.6730296,-75.3227965
Rosemont College,1400 Montgomery Ave Rosemont PA 190101499,40.0325184,-75.3284567
Villanova University,800 Lancaster Avenue Villanova PA 19085,40.0369846,-75.3444079
Swarthmore College,500 College Ave Swarthmore PA 19081,39.906932,-75.3514659
Widener University,One University Place Chester PA 19013,39.861684,-75.3577535
Cabrini University,610 King of Prussia Rd Radnor PA 19087,40.055158,-75.3673972
Eastern University,1300 Eagle Rd Saint Davids PA 19087,40.0533472,-75.3689757
DeSales University,2755 Station Avenue Center Valley PA 18034,40.5384792,-75.3776524
Lehigh University,27 Memorial Drive West Bethlehem PA 18015,40.6068348,-75.3801693
Moravian College,1200 Main St Bethlehem PA 18018,40.6310594,-75.3809254
Valley Forge Military College,1001 Eagle Rd Wayne PA 19087,40.0533971,-75.3821423
Delaware County Community College,901 S Media Line Rd Media PA 19063,39.9674581,-75.3928612
Pennsylvania State University-Penn State Lehigh Valley,2809 Saucon Valley Road Center Valley PA 18034,40.5591506,-75.4025594
